STRING ID,DESCRIPTION,ENGLISH,FRENCH / FRANÇAIS,SPANISH / ESPAÑOL,GERMAN / DEUTSCH,ITALIAN / ITALIANO,PORTUGUESE / PORTUGUÊS (BR),PORTUGUESE / PORTUGUÊS (PT),RUSSIAN / РУССКИЙ,GREEK / ΕΛΛΗΝΙΚΑ,TURKISH / TÜRKÇE,DANISH / DANSK,NORWEGIAN (NB) / NORSK BOKMÅL,SWEDISH / SVENSKA,DUTCH / NEDERLANDS,POLISH / POLSKI,FINNISH / SUOMI,JAPANESE / 日本語,SIMPLIFIED CHINESE / 简体中文 (zh_CN),TRADITIONAL CHINESE / 繁体中文 (zh-TW),KOREAN / 한국어,CZECH / ČEŠTINA,HUNGARIAN / MAGYAR,ROMANIAN / ROMÂNĂ,THAI / ภาษาไทย,BULGARIAN / БЪЛГАРСКИ,עברית / HEBREW,MALAY / BAHASA MALAYSIA,INDONESIAN / BAHASA INDONESIA, العَرَبِيةُ / ARABIC
LANGUAGE_CODE,IETF language tag(s) without dash,enUS enGB,frFR,esES esAR esMX,deDE deCH deAT,itIT itCH,ptBR,ptPT,ruRU,elGR,trTR,daDK,noNB,svSE,nlNL,plPL,fiFI,jaJP,zhCN zhSG,zhTW zhHK zhMO,koKR,csCZ,huHU,roRO,thTH,bgBG,heIL,msMS,idID,arSA
LANGUAGE_EN,[LanguageName] in english,English,French,Spanish,German,Italian ,Portuguese (Brazil),Portuguese,Russian,Greek,Turkish,Danish,Norwegian,Swedish,Dutch,Polish,Finnish,Japanese,Simplified Chinese,Traditional Chinese,Korean,Czech,Hungarian,Romanian,Thai,Bulgarian,Hebrew,Malay,Indonesian,Arabic
LANGUAGE_DIRECTION,ltr or rtl (text direction used by game code),ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,rtl,ltr,ltr,rtl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAME_ACTION_ATTACK,[Infinitive/tutorial verb],Attack,Attaquer,Atacar,Attackiere,Attaccare,Atacar,Atacar,Атаковать,Επίθεση,Saldır,Angrib,Angrip,Attackera,Aanvallen,Atakuj,Hyökkää,攻める,攻击,攻擊,공격,Útočit,Támadni,Atacă,โจมตี,Атакувай,תקוף,,,
GAME_ACTION_BOOST,[Infinitive/tutorial verb],Boost,Booster,Potenciar,Boost,Accellerazione,Impulsionar,Impulsionar,Ускориться,Ώθησε,Yükselt,Boost,Boost,Öka,Boosten,Szybciej,Tehostus,ブーストする,提升,提升,가속하기,Boost,Megnövelni,Mărire,บูสต์,Форсирай,Boost,,,
GAME_ACTION_BUILD,[Infinitive/tutorial verb] Build house,Build,Construire,Construir,Bauen,Costruisci,Construir,Construir,Построить,Χτίσε,İnşa Et,Byg,Bygg,Bygg,Bouw,Budować,Rakenna,建築,建设,建設,짓기,Stavět,Építeni,Construiește,สร้าง,Построй,בנה,,,
GAME_ACTION_CAST_FISHING,[Infinitive/tutorial verb] Cast fishing lure,Cast,Lancer,Recoger,Werfe,Lanciare,Lançar,Lançar,Закинуть,Ρίξε,At,Kast,Kast,Kasta,Uitgooien,Zarzuć,Heitä,釣り糸を投げる,投,投,던지기,Nahodit,Csalit bedobni,Aruncă,โยน,Хвърли,הטל-פיתיון,,,
